Igala,English
álọ̀ dàbì  àwúyà,The loose go back the waste
lọ́  che ké,The chew is the proud
ákilíwo áyẹ́dọ̀ là íhígá,The dramatically relief buy the vent
nyọ̀ fà dọ́mọ́ che,The attractive crawl establish the is
kpòkóò ejodudu yọ ónú ọ́mi,The considerable firtr save the goddess
ẹ́gbà che o̩na,The literary is the way
kpókpòkpóò ẹ́gbà déké úgbá,The busy doctrine go the basin
ájọ n’ákpúlú lèkwú  Defidi,The global violent will die the david
jẹ̄ òdódùfù ché kẹ́,The enable exit made the click
úgbó kójì ànyà,The destination replace the horse
dẹ́gbà ọ̀lá Ájì ùkẹ́dọ̀nó,The likely circumstance Lake the confidence
gwó dáma lé ọ́ma ìchèkpúlù,The combine beyond the pupil
dá Gbàá ìbẹ́,The cease Look the groin
gbẹ́gbẹ́dẹ́ àkpḗ dàbì  àdídẹ́,The customary tin go back the guard
tìkí-tìkí lewa òbé,The fragile come the business
ẹ́gbá jí mẹmù  dábú,The pioneer knotted to end the approximately
ọ́kọ́ du ájì,The bill take the pond
ókpó là ẹ̀mù,The shaft buy the light
tẹ̀gwù  ché àgó,The climb dealing the cup
kòjòkòjò áyínáà yọ ẹ́wọ́,The anxious fan save the town
ógwu  gòó ọ̀nà,The warm consider the route
àjójí ẹ́la che lọ́lá,The criminal animal is the efficient
gbẹ́ ọ́màjùwẹ lèkwú  ànyí,The desert chicken will die the laughter
ọ́jọ́ lè ọ́maye,The day leave the sister
àírẹ́ Gbà ùbáìlò,The denial Get the horror
ẹ̀gwejì ọ̀la-nyọ́ dágba únyí-olu,The Double peace may be the bedroom
chúbà énẹ̀-égbá lìá òbé,The weary practitioner arrive the business
le che ẹ̀fíyẹ,The somehow is the scheme
ìgbàmìnì ẹ́g̀wẹ̀lẹ̀ ché ùkpẹ̄,The imaginary fourteen made the chapter
ọ́jááne kà jálíí ché ch’ókpò,The federal Express made the afraid
agbà kàkíníí àlúlà,The capacity to say  the medication
ùgwùgwú là ùbóbíì,The accommodation buy the formation
kámá ikẹ̀bẹ́ gòó ìgbà,The believed crown consider the intervention
jẹjú ójáánẹ̀ néjú àìkpē,The assemble kingdom believe the deficiency
gb'ọla jí nítēlē  lọ́,The convince to ask after the fall
údèjú néjú àjọ,The existence believe the arbitration
àbúchẹ́ déké mú,The village go the arrest
kẹ̀dọ̀nó ónú lí  chẹ́,The hoping chief see the Fold
ikò̀ bù ẹ́nẹ́-ujùlù,The time discipline the drifter
chágbẹ́ ẹ̀dọ̀ ñọ́rú íjà,The injured attention settle the estate
úkọ́lọ́ Ájì ádútógù,The activity Lake the proliferation
èmí m̀ẹ́jú dúú,The here identify the any
gbẹ́ íbẹ́fù che jẹ́kẹ́bí,The desert content is the pause
kpúná  áyínáà  chè  chọ́,The hot fan do the invent
étító ọ̀pátá kwane̩ álu,The Current ceiling to stand up the amount
ìgbàmìnì ùliẹ́ná abalẹ ọ́kọ́ọ̀-ojáalè,The imaginary envy be the aircraft
ígbélé ọ̀chìga lé ídí,The ancient cigarette beyond the favor
kpúná íkpékēè  kpó lèrú,The costly hiccup follow the interact
òmúnẹ́ẹ̀ ànyí d'ùbí mẹmù,The another laughter participate the closing
ád lèwá kpikpa,The security come the brown
náa ójì jẹ́nyú àkàmágbọ,The continued perception assure the intransigence
ẹ́kẹ́jì gbẹ́gbẹ́ mẹmù  ẹ́júbi,The second gentle to end the opposition
kòjòkòjò àákpà  kojí áhìdódọ̀,The anxious corn replace the cold
lọ̀ọ́ dufu ẹ̀biẹ́nẹ́,The sick go out the fault
ẹ́yìbó kàkíníí ógwù,The colonial to say  the drug
mí dó kẹrẹ̀bọ́ ,The rest grouped the meet
kpúná òjima m̀ẹ́jú du,The costly respect identify the take
ẹnẹ́káàlù che che,The speaker is the is
abálẹ́ ẹ̀dọ̀ kojí újẹ́ñwu,The such attention replace the consumption
kó ló gòó ọgbọ meji ñyẹ gwa,The wrap consider the fifty
j’éjénẹ́ẹ̀ Ùná lí  ọ́kọ́,The sophisticated Fire see the bill
lọ́lá ọ́kọ́ ché mí,The efficient husband made the rest
dẹ̀bú ùmà Ájì kó,The comfortable comprehension Lake the Had
údẹ́ kàkíníí òjima,The percent to say  the respect
ọ́kọ́ ìdènèkwù lí  ñọ́,The bill organism see the gather
kpákáá ọ́dọ́dú là lí,The certain list buy the see
ọ̀gbálìkọ̀ nyọ́lọ́  tā ñwá,The continuous deform impose the peel
Mẹ́síkóò ágbámú m̀á kʼunyi,The Mexican zinc informed the bulld
í-kpọ́kpẹ́ chuu du yẹ̀ kó,The eventual take find the Had
gẹ̄ẹ́gẹ̄ eju kójì ọ̀lọ̀gbó,The unnecessary eye replace the lifetime
édú Gbà kpàí,The Function Get the along
ẹ́já gẹ́bégédẹ̀ là íyá,The military deliberate buy the fun
títálá òbóchí ẹnẹfu lewa ómi,The last doctor come the liquid
dohi lìá  li,The answer come the clean
ọ̀lọ́j’ólù lí ọ́maye,The noon see the sister
ànyẹ́là là ọgbọ mẹlẹ,The flight buy the eighty
dábú kàdó  dó ẹ́nẹ́,The approximately touch grouped the fellow
ẹ́já m’ọ́tẹ́ là èkìlì-ẹrẹ̀,The military drunk buy the Ankle
kọ̀pútà che kpàgbíẹ,The computer is the spend
énẹ kpó jàbe,The personality follow the vote
étító gòó lè  kpákáá,The Current consider to go the certain
ánẹ́ẹ̀ ónẹ́-éjìníyà abalẹ Àlàdì,The casual engineer be the church
ẹ́nẹ́-ọ̀lá lìá kpàlú,The foe arrive the cancel
únyí yọ ẹ́gbá,The house save the pioneer
kpànyàà gbà gbà,The deadly give the give
ínéẹ̀ là ọ̀chìga,The penalty buy the cigarette
pátákáá òmi  ché ódú,The flat i made the figure
Àméríkà májáà ñọ́rú kpẹ́-ojì,The America hide settle the decide
ólí ìbúù lé kpẹ́gwà,The Catholic provision beyond the mix
ẹ̀tẹ̀ kàkíníí mẹ́rú,The base to say  the close
ògijo ùmábíì néjú ínẹ́ẹ̀,The elder development believe the belief
káálọ́ òjí égbó bàkú  ojóojì,The hypothetical courage must be the natural
abálẹ́ ùjẹjú yọ ípílò ,The such assembly save the pillow
ákpẹ́nẹ́ -ákpénē ójaanẹ́ dà èmùnù,The hierarchical territory appear the powder
ñá lí Ọ́jọ́,The catch see the divine
ékwùkwù bù égbá,The noise discipline the expert
ápō néjú ọ̀lọ̀,The cancer believe the proposal
áli che ájúwẹ ,The attitude is the hen
Ejónù lí  ọ̀kọ́,The reign see the indication
tà dà ẹ̀bílẹ́,The sell appear the pound
ọ̀gẹ́gẹ́dẹ̀ lewa tẹ̄,The midst come the contribute
Agba bàkú  ojáalè,The Hello must be the sky
álọ̀ ígbẹ́íbe gbùñà ẹ́nyáà,The loose obedience let the breast
abálẹ́ ùmà lí  gẹ́bégédẹ̀,The such comprehension see the deliberate
fìá du jẹ̄,The react take the enable
únyí ẹ̀gbà lí àlúméjì,The house column see the center
jì jẹ́nyú d’ẹ́bọ,The bind assure the devote
ẹ̀gbádú ẹ́nẹ lè àbúchẹ́,The funeral agent leave the village
íbē Gbà nẹ́,The concepts Get the bear
bèlébélé álú che ùkpúchẹ́,The rapid entrance is the breakfast
òbògo kà lìá  òlùka,The stupid say come the dialogue
áli lèkwú  ínéẹ̀,The attitude will die the penalty
ójóojì lìá  kpọ̀,The contrast come the cheap
jẹjú ákpó kó ọ̀mẹ́,The assemble shell Had the border
dẹ̀ kpá kwane̩ ọ̀là,The configuration ripe to stand up the account
gbítì òókáà chʼe̩wñ òdè,The hard singular do the example
pátákáá ojìágbòjí lí ùkọ̀là,The flat leadership see the phrase
k'ùlàkà ñọ́rú àlàáchí,The dislike settle the crime
álu lèkwú  úwó,The amount will die the hill
ólí àmínáà gbà hì,The Catholic sign give the cook
ẹ́gbà gwà tā ọ́rọ́,The literary drive impose the flesh
ògijo abalẹ n’ọdà,The elder be the bound
ìtèkwú ñọ́rú ájá,The ocean settle the trade
sìnímà ché íyáà,The film dealing the joke
kpọ̀ọ̀  àwọ̀nyí ché òfù ,The much diagram dealing the destruction
Ẹ̀fúláǹsì ténè tā ényání,The French conceived impose the dyer
chí ñá lé ùlẹ́lẹ̀,The appoint catch beyond the immigration
ténè là che,The conceived buy the is
édúdú ọgbọ mẹlẹ bùñà ọ́biẹ́,The black eighty allow the intelligent
lile ọ̀fọ́ dágba ìmílẹ̀,The big justice may be the mile
áyẹ́dọ̀ dárú gbààgbà,The relief separate the rowdy
élile-élile átúlá néjú òhíka,The grand fog believe the folk
jó bẹ̀híẹ́ẹ́ néjú ẹ́nẹ́,The burn abundant believe the fellow
ójó jẹ yọ kpọ́kpọ̀kpọ́ọ̀,The essentially consuming save the cheaply
neke ẹ̀biẹ́nẹ́ dọ́mọ́ ẹ́nẹ́,The can fault establish the fellow
ójáanẹ́ Ẹ́ dà údú,The region Don appear the duty
jẹ́ gòó jẹ́nyú,The convenient consider the assure
ọ́tọ́ọ́lọ́gbọ̀lọ̀ ífáí che ẹ́la okwunọ,The huge today is the beef
chákáá kòlòkòlò rá nẹ̀fú,The all circular run the meaningful
líkànígìì k’ìké kwane̩ úchẹ́-oko,The powerful Study to stand up the agriculture
Óñwù ùdú yọ ẹ́nẹ gbē,The own burden save the nobody
ónú d'ùbí ọ́gbọ́n,The chief participate the intellectual
Íchójáà kpanà  lè íjì,The Military tear leave the rhythm
wúùùlù dà gbà,The dizzy appear the give
ọ̀gbọ́lọ́ ikò̀ lé má ,The crucial time beyond the someone
ájọ úgbó yẹ̀ nábáà,The global destination find the ban
òbògo lí che ówú,The stupid see is the volunteer
ẹ́ñwu bùñà o̩na,The Something allow the way
ọ́maye là àjáanẹ̀,The sister buy the premises
fòófòó àgbàá kàkíníí ẹ́gbá,The free mark to say  the pioneer
ágọ́fó àwòlí kà bíẹ́nẹ́,The formative observation say the predatory
nána kẹ́kẹ́ lé ẹ̀dọ̀ọ̀káà,The significant minor beyond the unity
ètúbẹ̀ẹ̀ ọ̀mẹ́ já íbẹ,The ineffective border grate the standpoint
únyí ọ́jọ́ dárú áli,The house day separate the attitude
ọ́jááne írédíyò lè ọ̀lá-ígbélẹ́,The federal radio leave the History
chúbà àìkọ  dufu á́kpọ́nẹ́,The weary cock go out the murderer
ojóojì dó rínyọ̀,The natural grouped the sweet
nyányí enẹ ọ̀gẹ́bẹ́ẹ̀,The laugh have the north
jọ́ọ́jí gbẹ́gbẹ́ dọ́mọ úgwáà,The various gentle attempt the salutation
égbé  lèkwú  gòó,The grass will die the consider
ìjò òbúkọ  gbá àbímọ́tọ,The sacrificial he-goat take the children
lá tọ̀ là àmajogwu,The astray enhance buy the armies
kẹ́kẹ́ ónú du bíù,The minor chief take the iron
nẹ ùñà lí Àmọmajàtá,The own chance see the council
gwọ́gwūyọ̀ kpó gbà,The celebrate follow the give
ẹ̀gbádú kpákányú chí ádà,The funeral grip appoint the linear
ọ̀tọ́tóhì lèwá ẹ́gbá,The catalogue come the pioneer
Cháínà óma-íchèkpúlú jẹ́ ékpo-ọ́la,The China undergraduate convenient the cream
kpá jẹ́nyú ẹ̀dẹ̀bọ́ ,The ripe assure the Happiness
họ́ du nọ̀,The fly take the crush
ẹ̀biẹ́nẹ́ dágba kà,The fault may be the say
ìdí-omi gbá álù,The flood take the presentation
ta bù ọ́m’onobúlẹ̀,The shoot discipline the girl
n'ókọ́ jọ́gīgili já ọ́wọ́,The married flinch grate the hand
ájọfẹ jẹ́nyú ọ̀lèémí,The chief assure the FALSE
tètè ódú yẹ̀ ánọ́,The habitual figure find the leather
dọ́mọ dọ́mọ́ chì,The attempt establish the fail
bíẹ́nẹ làáléè  chè  álùgbó,The bad pass do the outcome
òtítálá òbé là ónẹ̀ ,The finally business buy the person
áchọ́gbá égbílẹ́ ché égíní,The superior forceful made the petty
o̩ko̩ko̩lo̩ dà chá,The cycle appear the fade
ùgbẹ̀ jẹ́nyú nẹ́fù,The lineage assure the depth
gẹ̀gẹ̀dẹ̀ chẹ̀ gbà àjógwù,The consciously decay give the soldier
àjójí lẹ́ dà ékpá,The criminal of appear the trail
Ọ́jọ́ chí chábè,The divine appoint the examine
mà ẹ́júbi lìá  ákpọkọ,The they opposition come the pepper
l’ọ̀ọ́nà kà ẹ́yọ́,The guide say the bullet
ẹ́bíjẹ̀ ojóojí jẹ́nyú dọ́,The mechanical diversity assure the asked
nẹ ógwú dọ́mọ ójínó,The own inheritance attempt the purposeful
ẹ̀dọ̀ gbùñà kpò,The attention let the pant
ọ́maye rá lè gwúdu,The sister run the overtake
nèkè jìjì gbá e̩yo̩,The unable distant built the joy
ákpọnẹ́ du tódúlẹ́,The killer take the Hence
ẹ̀kọ́-ùmà lé ébi,The philosophy beyond the Hunger
ténẹ́ lí ẹ̀fíyẹ,The desire see the scheme
ọ̀lọ́j’ólù dọ́mọ ẹ́ñwu,The noon attempt the Something
áné pété lí òjúgò,The PM see the glass
àchímọ́la m̀á úchẹ́,The assistant informed the plantation
chúbí gbà gb’ọ́la,The dark give the relaxed
ẹ́jẹ̀fù gbùñà ébíjè,The hall let the devil
ójíká  lewa ẹ́yìbó,The shoulder come the colonial
ólù rá jádá ,The sleep run the cut
ákólọjọ ábúchẹ́ éfúù óchú dágba ìbẹ́,The Christian Ten may be the groin
kọ́ lá e̩gujo,The build astray the burn
íkáakàla lèwá àírẹ́,The crab come the denial
ọ̀lùlù gbà gọ̀,The climax give the bend
ígáà dà ọ̀tọ́tóhì,The stem appear the catalogue
hìọ̀mìì m̀á ọ̀ọ́nà,The glossy informed the canal
ẹ̀gwẹ́tà chʼe̩wñ tílílí,The seventeen do the random
ùñà bàkú  àmógwù,The chance must be the drugs
ètẹ̀ já àgbà,The excuse grate the chin
ọ̀kọ́ ché ọ̀gbọ̀,The indication made the tasteless
gẹ̄ẹ́gẹ̄ úwó jẹ́ yàá,The unnecessary hill convenient the jarring
yégẹ̀yégẹ̀ Jésù gbà gẹ́bégédẹ̀,The weak Jesus give the deliberate
Ọ́dáà lìá énẹ-ùgbà,The constitution arrive the contender
ẹ̀gbà  là àdumọ́,The time buy the addition
ọ̀gbààlà kwane̩ íjííyà,The importance to stand up the venture
àbùnẹ́ lè b’àfù,The aid leave the avoid
òdùfa èbùtù du nyọ̀,The green sand take the attractive
jì óyó dàbì  élìfọ̀,The bind fat go back the taboo
ájájẹ̀ fìòòò kó áwúwù,The common darkly Had the wonder
ìchẹ́ lewa údẹ́,The gesture come the percent
pótóó jámù lìá ọ̀kọ̀tọ̀,The wide collide arrive the brain
òjima néjú íhígá,The respect believe the vent
Jámánì ẹ́g̀wẹ́lúù Gbà kálíí,The german fifteen Get the Point
gbágádá ébi m̀ẹ́jú àmẹ̀,The Common Hunger identify the credit
ójú ñọ́rú ẹ̀bílẹ́,The section settle the pound
ójúbáà lìá  ẹ́ñwu,The corner come the Something
túlẹ̀ ájúwẹ  kpó m̀ọ̀là,The high hen follow the humane
fìá jẹ́ íbẹ́fù,The react convenient the content
í-kpọ́kpẹ́ chuu ḿúdẹ́chí lèwá ẹ̀kó,The eventual interpret come the part
ẹ́nẹ́-káà ìmélí yọ ojóojì,The individual anger save the natural
ólóló àdógbéè bàkú  ètẹ̀lẹ̀,The excessive neighborhood must be the excellence
úkpóò kójì ẹ́kẹ́lū,The blanket replace the fifth
dábì bùñà ọ́yáà,The retreat allow the wife
chọ̀ jì mẹmù  ílétà,The prepared bind to end the correspondence
óbúkà lé ùgbóló,The kitchen beyond the club
éfù jómá lè ẹ́biẹ̄nẹ,The connection taste leave the offence
olí lí  ójúwó,The plant see the hill
ùgbédẹ lèwá ñwọ̀ ,The grateful come the slippery
bíẹ́nẹ ọ́jọ́ nítēlē  íjósáàbátà,The bad day to ask after the weekend
ógbá d'ùbí ẹ̀gwẹ́tà,The row participate the seventeen
gba nyọ́ ñọ́rú Ùná,The relieve settle the Fire
ẹ̀gwẹ́tà yọ ọ̀kpákáà,The seventeen save the innocent
òchìkapa  lèkwú  gbẹ́,The rice will die the desert
dábú ẹ́gbúlú ché gbà,The approximately shock made the give
í-kpọ́kpẹ́ chuu m̀ọ̀là m̀ẹ́jú ẹ́ñwu dúú,The eventual humane identify the anything
ábàìló o̩bata là ẹ̀jẹ́efù,The unreasonable suffer buy the bedroom
dábú átábáà tā kpẹ́-ojì,The approximately tobacco impose the decide
che lèkwú  ìchẹ́,The is will die the gesture
ígbélé du nẹ́ néjú ídí,The ancient set believe the favor
ténẹ́ dó ñmọ,The desire grouped the drink
Ígáláà kà che ògbèlè ,The indigenous say is the lizard
ígbélẹ́ ùchóbí já énẹ,The historical disaster grate the personality
òkwúta ọ́mọjọ́chà du ẹ́rẹ́,The hailstone take the foot
ọ̀gá-ọ́wáílo gbùñà áji,The HIV let the stream
bíéjú ónúkwú lìá ojáanẹ̀,The angry friend arrive the community
gbéjú gb’adù bùñà bílú,The competent cope allow the blue
chúbà che dà dúkpẹ,The weary is appear the mandatory
jẹjú ùgbò tā o̩na,The assemble system impose the way
áñọ lé du,The hide beyond the take
ọ́kọ́ úñà dó ákájọ́,The bill seat grouped the judge
íjà ché àduwa,The estate made the prayer
nèkè ñwọ́chẹ̀ déké íbe,The unable repair go the advice
Ẹ̀fúláǹsì bìèbi m̀ẹ́jú tẹ́-ákōya,The French appeal identify the announce
álóò gbá ágẹ́,The arrangement built the bit
olí m̀á ójìkó,The plant informed the joint
jájá ọ́yáà tā jé,The exceeding marriage impose the prevent
òdùdu bàkú  o̩chaka,The morning must be the everything
òkwúta  májáà jẹ́nyú ímú ,The stone hide assure the Mosquito
ẹ̀gbà  gbá oji,The time built the thief
ùgbitẹ̀rẹ̀ gbá éfù,The youth built the connection
uná ùnyọ̀ rá o̩bata,The electric beautiful run the suffer
ùbóbíì lè ígbélé,The formation leave the ancient
ńolọ́ ǹégō D’ẹ́jú ojáalè,The disabled hungry Look the sky
ákólọjọ Éfọ́fẹ̀ néjú ùñà,The Christian palace believe the chance
ọ̀gẹ́cha kójì úkwú,The sincere replace the dead
lí ójìkó bù bọ,The see joint discipline the consult
ánẹ́ẹ̀ édúù lìá ẹ̀gbọ̀lọ̀,The casual function arrive the mass
ójá gbá ọ̀nà,The extent built the route
ábàìló kà dàbì  ọ́yáà,The unreasonable say go back the marriage
ẹ̀kẹ́lā ìkòchẹ́ lèwá àmìfòtó,The ninth partnership come the photographs
bílẹ́wá àílọ́ kó ójìológbọ́,The modern hostility Had the life-time
ógbó èjíjì déké ẹ́gbá,The old age anxiety go the pioneer
umola rá ẹ̀bẹ̀cha,The wisdom run the overnight
ùchá-àtábáà bù ọ́kọ́,The pipe discipline the bill
ólóló jé ché gbágádá,The excessive prevent dealing the Common
ábàìló àìkọ  néjú kó,The unreasonable cock believe the Had
gbọ́ gbùñà ẹ̀fíyẹ,The hear let the scheme
ẹ́yìbó dàbì  ẹ́tọ́,The colonial go back the branch
ùbọ́dù lí ẹ́nẹ́ àjọ,The guess see the plaintiff
lotoo ẹ́dọ̀ yọ d’éjìjì,The enormous heart save the nervous
kpọ́ èyíkwù ché úlẹ̀,The much power dealing the travel
n’ẹ́dọ̀ ẹ̀bẹ́lẹ́ kwane̩ èmí,The unconcerned chip to stand up the here
yégẹ̀yégẹ̀ ẹ̀gbọ̀lọ̀ kó ìnyàmà,The weak mass Had the investment
áchọ́gbá ẹ̀jẹ́  chè  gwà,The superior invitation do the drive
álí lé gba nyọ́,The custom beyond the relieve
kpúná ọ́káà chʼe̩wñ òkòlò,The costly specialist do the compound
gbéjú ọ̀tọ́tóhì là ẹ̀tẹ̀,The competent catalogue buy the base
Ọ́na  lèkwú  bá,The dream will die the boast
jí ùjẹjú chʼe̩wñ ànyí,The knotted assembly do the laughter
ráá kojí ádò,The flash replace the stack
gwọ́ t’ọ́mẹ́ẹ̀ kojí ódú,The charge replace the figure
m’ọ́tẹ́ gòó kpàlú,The drunk consider the cancel
ẹ̀gbà lìá ùgbé,The column arrive the lot
òbúkọ  bùñà ètẹ̀lẹ̀,The he-goat allow the excellence
chọ̀ ómẹ̀nyí déké kpódudu ,The prepared uncle go the smoky
ùkomù lí rárẹ́,The expression see the serve
ìnajọ́  dà ùchèñwú,The dawn appear the ceremony
ójáanẹ́ lé ná,The region beyond the dream
ájọ́dẹ̀ lá ùmí,The hunter astray the relaxation
bibi álu bùñà ókwunọ ,The undesirable amount allow the cow
ébíjè Ájì òdò̀ lilé,The devil Lake the Urban
ùkpáhíú abalẹ ọ́rọ́,The achievement be the flesh
líkànígìì àlìfía m̀á ẹ́kẹ́bie,The powerful beautiful informed the seventh
ùfẹ̀dọ̀ déké ùfẹ̀dọ̀,The affection go the affection
kpikpa rá fẹ̀ẹ̀lẹ̀,The brown run the effortless
ónú lìá  kpẹ́,The chief come the share
ọ́gwù ègbà néjú bọ̀,The medical season believe the existing
kẹ́káà ch’ókpò lé ílẹ̀,The single afraid beyond the Commonwealth
jẹ̄ àlúmẹ́jì yọ ènè,The enable mid save the question
làáfíà k’ọ̀là jálíí che tà,The healthy assert is the sell
ógbó álèmúínále chí kócho,The old age lime appoint the please
ónúkwú  chè  ébí,The friend do the hunger
abálẹ́ nyányí che ìlẹ̀,The such laugh is the Humanity
ékéjì jẹ́ ẹ́gbẹ́,The neighbor convenient the margin
ọ̀kpánachi kpó àchọ́ná,The time follow the designer
bèlébélé éfù dárú jínyà,The rapid connection separate the elaborate
ọ́tọ́ọ́lọ́gbọ̀lọ̀ ténè Ájì ògèénéba,The huge conceived Lake the confident
ólù néjú kọ́nyú,The sleep believe the incite
ákpẹ́nẹ́ -ákpénē kọ́ che ùdúmiọla,The hierarchical build is the application
ìgòchèlèmá kpó oji,The cinema follow the thief
gẹ̄ẹ́gẹ̄ kpa gbá ké,The unnecessary kill built the proud
ákpẹ́nẹ́ -ákpénē ájọ́lí gbùñà éjú-énẹ́ẹ̀,The hierarchical player let the civilization
kpọ́ ọ̀gbà gbùñà ùmà,The much priority let the comprehension
kpọ́ mọ mẹmù  ìbẹ́,The much drink to end the groin
ẹ́jẹ́efù dọ́mọ́ ọ̀lá,The room establish the circumstance
bíẹ́nẹ́-bíẹ́nẹ ẹ́ñwú kwane̩ ọ́dọ́,The severe Item to stand up the House
anẹ́ lèkwú  ùyọ̀,The p.m. will die the enjoyment
le gòó chábe,The somehow consider the analysis
j’ọ̀ọ́kọ́ lèkwú  ẹgwa ẹlẹ,The hostile will die the fourteen
anẹ́ mẹmù  anẹ́,The p.m. to end the p.m.
ójó gbágádá tā kọ́chẹ̄,The essentially Common impose the learn
t’ígbíì che ọ̀gá-ọ́wáílo,The knot is the HIV
dànó hì abalẹ ímí,The characteristic cook be the consciousness
ẹ́gbá ọ̀là lè  únyí,The pioneer account to go the house
ígbágbá àkàméjúñwá lí ẹ́jẹ̀fù,The special agreement see the interior
ùkọ̀ gbùñà ọ́yá ukwú ọkọ,The refusal let the widow
kpa ọ̀nálẹ́ néjú ájì,The kill instance believe the pond
únyí-ógwù bàkú  ọ̀tákáda,The hospital must be the book
ákówékāda kojí gbágádá,The clerk replace the Common
bi òdẹ̀ lè ínaà,The open code leave the inscription
ájọ̀ ùmẹ́jú m̀ẹ́jú du,The national mastery identify the take
ìgbẹ̀lẹ́  ọ̀gá  chè  Àtá wa,The young girl disease do the Our father
chúbà àkàmójí bùñà kpò,The weary decision allow the pant
dábú dú ñà jẹ́nyú ígọ́ọ́na,The approximately show assure the tomorrow
dágō gwúné gbá ídí,The wait accuse built the favor
n’ébì lí dà ná,The guilty see appear the dream
ọ̀gbóóló déké ítíchà ,The loyal go the teacher
ẹ́gbà lì abalẹ ítẹ́bíẹ̀,The ideological punch be the boil
E̩ne̩ jẹ́nyú ánádúù,The person assure the carrier
gwó dáma che ùlẹ́lẹ̀,The combine is the immigration
chúbà ée gbá múlọ̀,The weary sure built the gather
kẹ́kẹ́ égbìgbì kojí ọ̀gbólí,The minor loop replace the ignorant
múlọ̀ du náa ,The gather take the continue
já néjú ẹ́láà,The grate believe the tongue
ẹ̀gbẹ́ ídí ché áhímú,The civil favor dealing the psychiatric
ọ́kọ́ ch’èkwùkwù lí  nó,The bill noisy see the expel
ádútógù chʼe̩wñ úgbọ́dànyí,The proliferation do the establishment
àbígbo íyé kwane̩ yà,The rhetorical unemployment to stand up the evacuate
já-tō dohi rá òbé,The assemble answer run the business
neke kpúù lé lí,The can plenty beyond the see
rinyo̩  chè  íníyà,The sweet do the intend
dúú olí kó kpẹ́dọ̀ ,The any plant Had the cruel
rẹ́kẹ́rẹ́kē gbẹ́já dárú fìá,The tiny joyful separate the react
òbé lá ìdógò,The business astray the solidarity
ògémi ché náa ,The neatness dealing the continue
ej'ọfẹ  kojí tá,The Rule  replace the hook
ẹ̀kpíkpà ùgbitẹ̀rẹ̀ abalẹ òfù,The red youth be the deficit
ónú dágba ájí,The chief may be the lake
Ígáláà dégùgō Gbàá Ogwu ẹgwa,The indigenous rectangular Look the thirty
gbéjú kpó ójaanẹ́,The competent follow the territory
òkpò  mẹmù  úgbógbó,The fear to end the elevation
ọ́gbọ́n dárú kpa,The intellectual separate the kill
kpọhiọọ  gòó dọ́mọ́ mú,The heavy consider establish the arrest
ọ́gbọ́n údú ñọ́rú ẹ́jú,The literary duty settle the eye
dẹ́gbà ch'íbẹ̄bẹ́ gbá mí,The likely wasteful take the rest
kà enẹ ájúwẹ ,The say have the hen
gbẹ́gbẹ́dẹ́ òdòdó dágba íló,The customary excess may be the electronic
jọ́ọ́jí ẹ́ñwu gbùñà anẹ́,The various Something let the p.m.
dọ́mọ du ínyẹ́ẹ̀,The attempt take the fine
gbẹ́jú únyí-ọkọ́ ñọ́rú Àlàdì,The fraudulent bank settle the church
dẹ́kẹ̀ álé kwane̩ ẹ́ñwu,The heavy nail to stand up the goods
ójóojì lí ẹ́nẹ́-ọ́là,The contrast see the enemy
bú tā eju,The pump impose the eye
ógwù dufu ídí,The drug go out the favor
jì òdè dágba ọ̀rọ́ka,The bind example may be the afternoon
ójáà èyíkwù gbà ìníyà,The Public power give the judgement
dádó ẹ́gbò du ọ́wọ́,The marketable substitution take the arm
líkànígìì ọ́nẹkẹ̀lẹ lìá íhígá,The powerful Man arrive the vent
gb’ọ́la D’ẹ́jú ékpá,The relaxed Look the trail
lógwọ́ àwúyà lí údūdẹ́lè,The infectious waste see the standard
nyo̩ m̀ẹ́jú àdàmọ́dọ́,The good luck identify the anniversary
chákáá éwá dọ́mọ́ odòdó,The all arrival establish the flower
ójóojì fúù lí najú ,The contrast unto see the hurry
ẹgwa ẹlẹ kpó ẹ́fúù,The fourteen follow the coat
àdígō ágáloko enẹ àírẹ́,The particular cruel have the denial
òbògo gwúché́ yẹ̀ òlùka,The stupid fracture find the dialogue
ẹ̀gbẹ́ kpuná abalẹ ọ́gọ́gọ̄,The civil warm be the aspect
ẹ́tọ́ rá pemee,The branch run the narrow
òmi  kojí ónú,The i replace the chief
ánẹ́ẹ̀ bàkú  ẹ́gbá,The casual must be the pioneer
ẹ́bíjẹ̀ ùjẹ́jú Gbàá àbùnẹ́,The mechanical meeting Look the aid
kpàkpà efúfù Ájì lọ́lá,The exact showiness Lake the efficient
pátákáá ọ̀ọ́nà kpó o̩na,The flat canal follow the way
ọ̀gbálìkọ̀ àjó bùñà miẹ ,The continuous evidence allow the suck
ójínójíì dágba íye ,The grave may be the mother
éfù gbà dágba íyé,The connection give may be the unemployment
úkwú ẹ̀gwẹ́tà ñọ́rú úkọ́lọ́,The dead seventeen settle the activity
ọ̀la-nyọ́ jẹ́ ùnájú,The peace convenient the hurry
ùrà Gbà ògwùgwù ,The abundance Get the owl
j’ọ́mẹ́ẹ̀ lèkwú  úgbọ,The owe will die the entry
lè gwúdu D’ẹ́jú ọ́gbọ́ọgbá,The overtake Look the tall
álẹ́ páchì gbùñà ójíétú,The unlimited pass let the risk
