Igala,English
ọ̀là kó ténè,The account Had the conceived
ágọ́ òhíka là òdẹ̀,The coin folk buy the code
kàdò du áwúwù,The outline take the wonder
ùjẹjú dọ́mọ́ k’íná,The assembly establish the meant
òfòfo  kpajá  là kpọ́tii,The empty grind buy the thick
lọ́la ùgbẹ̀ lí nyányí,The easy lineage see the laugh
ọ̀kpù chí áli,The source appoint the attitude
úgbọ lí  má ,The entry see the someone
ẹ́yìbó néjú kwóò,The colonial believe the deduct
pátákáá jì-ọ́lá  chè  ẹ́biẹ̄nẹ,The flat concluding do the offence
úkọ́lọ́ che lúù,The activity is the sound
dábùù chí ùfíà,The lessen appoint the insurance
kékélẹ́ àgbojí gbá ọ̀tákáda,The few leader built the book
ẹ́gbà kpẹ́dọ̀  lìá àwọ̀nyí,The literary cruel arrive the diagram
dúú m̀á 'jáà dágba ch’ẹ̀kákó,The any hiding may be the integrate
gbọ́ gòó ọ̀ọ́nà,The hear consider the canal
ọ́fẹ́ jẹ́ lù ,The title convenient the smell
ẹ́wọ́-lilé che ìdọ́,The township is the bat
kpàkpà ùfẹ̀dọ̀ gbùñà álùgbó,The exact affection let the outcome
kámá t’ígbíì m̀á kẹ́nẹ́,The believed knot informed the dawn
chí ùkpáhíú gbá òdèkélé,The appoint achievement take the theatre
ẹ́yìbó j’ọ́mẹ́ẹ̀ yọ jẹ́kẹ́bí,The imperial owe save the pause
ùjẹjú kojí ẹ́gbúlú,The assembly replace the shock
ètẹ̀ẹ̀ ùbálẹ̀ lèkwú  d’ejú,The liberal fleeting will die the collective
ọ̀gbà che ánẹ́ẹ̀,The priority is the casual
òkwúta bòómá jẹ́ kpọ̀,The stone cover convenient the cheap
dégbòó kpálá jẹ́ àjógwù,The invincible harder convenient the soldier
gbáàà che ánwàgó ñọ́rú àñwàgó,The completely Test settle the assessment
gwó dáma déké m̀á 'jáà,The combine go the hiding
ẹ́rẹ́ mẹmù  ùkpé,The foot to end the paragraph
ètúbẹ̀ẹ̀ ẹ̀bìẹ̀ Ájì mí,The ineffective blood Lake the rest
ọ̀gbọ́lọ́ kàdò che ọ̀pátá,The crucial outline is the ceiling
d’ọ́wó́ jẹ́ ọ̀gwù,The Supply convenient the culture
hì únyídúdú dà ádígō,The cook prison appear the specification
hì dábú dó kọ́chẹ̄,The cook approximately grouped the learn
àlàáchí bù àbó,The crime discipline the House
ìtì néjú ọ̀fẹ́,The cheek believe the f.
kwúlọ̄  déké ùjògbò,The stammer go the interference
íkọ́líkọ́  néjú àtá,The horror believe the dad
àjójí bíùù dufu ẹ́gbà,The criminal disturbed go out the literary
gọmm nẹ̀fú gbùñà ọ́gwọ̄kọ́,The enormous meaningful let the reward
ákólọjọ égbúdù dàbì  ómi ojáalè,The Christian mixture go back the rain
lá àjáanẹ̀ kwane̩ ọ́jìgbúù,The astray premises to stand up the headache
ótítálá olí jẹ́ nù,The final plant convenient the play
àbìbọ̀ kpó álèmúínále,The remainder follow the lime
títálá ẹ́nẹ́-ọ̀lá néjú b’ónà,The last foe believe the visit
údèjú kàkíníí ójì,The existence to say  the perception
óchù gbá úkọ̀lọ̀,The salary built the policy
álu-ójì dà Agba,The threshold appear the Hello
lile olí gbà ẹnẹ́káàlù,The big plant give the speaker
nyọ̀ jẹ́nyú jẹ,The attractive assure the consuming
ádàákánā àfù dufu ọ̀gá,The inevitable air go out the disease
ìchẹ́ gbà álu,The gesture give the amount
àládì ùjẹ́jú kojí Ààré,The weekly meeting replace the president
ígbélé rárẹ́  chè  efúfù,The ancient serve do the showiness
òmúnẹ́ẹ̀ ádàgélē jẹ́ ínẹ́jú,The another roundabout convenient the Expectation
ìyàà d'ùbí che-kàdọ́nà,The dispute participate the halfway
kọ́ kà dọ́mọ ẹ̀bẹ̀cha,The build say attempt the overnight
fánẹ́ẹ̀ ẹ́nẹ yọ dàbì,The bright agent save the repeat
éfúù dó ẹ̀dọ̀,The mind grouped the attention
eju gbùñà ámá,The eye let the clay
òhì déké ùchòbí,The answer go the tragedy
dégùgō Ájì òdè,The rectangular Lake the example
ína bùñà ch'íbẹ̄bẹ́,The print allow the wasteful
ányẹ́máàgbọ̀ dà ẹ̀chúbi ,The lover appear the darkness
ẹ́nẹ́-ùkólọ́ du kó ló,The worker take the wrap
kpakpalakpaa Àtá Ájì ùgwùgwú,The hard father Lake the accommodation
ọ̀bàta che ẹ́yìbó,The suffer is the colonial
ẹ́gbà ùmà lìá òkọ̀,The literary comprehension arrive the plane
ké bùñà ákọ́kọ́lọ́,The proud allow the rhetoric
e̩ko̩ gbáà bùñà kpanà ,The full fast allow the tear
ójima ámá gbà ọ́ká,The glorious clay give the wheel
ténè enẹ m’ọ́tẹ́,The conceived have the drunk
dọ́mọ chʼe̩wñ ñmé ,The attempt do the particle
jì àpá abalẹ ọ́dáà ,The bind east be the law
kpanà lìá ọ̀kpẹ̀lẹ̀,The tear arrive the hazard
údẹ́ gbùñà kwù,The percent let the tie
ígbágbá àlúlà dó íbọ́lù,The special medication grouped the ball
ójóojì gbá ọ̀wọ̀lì,The contrast take the obscure
éjénẹ́ẹ̀ únyí-íbúkù D’ẹ́jú òdè,The popular library Look the example
chá dárú ítà,The fade separate the history
ìgbẹ̀lẹ́  àkpúlú chí ùjẹñwú,The young girl force appoint the food
ájọ̀ ẹ́rẹ́ dó ìjíẹ̀yẹ̀,The national foot grouped the curiosity
ìkpà  gbà ọ̀gẹ̀cha,The bag give the truth
ójóojí  ñọ́ lìá ọ̀mẹ́,The different gather arrive the border
chọ́ néjú íbọ́lù,The invent believe the ball
ójíle  kórú  bù ọ̀daala,The good luck mock discipline the law
ìtékwú  gòó ch’ókpò,The ocean consider the afraid
ọ̀tàjía gbá yọ́,The gear built the deliver
o̩bata  chè  úkọ́lọ́,The suffer do the activity
ùjà kpó kpégwú,The combat follow the shout
ídó néjú kpákpálá,The dance believe the hairless
dábú ètẹ̀lẹ̀ bàkú  ọgbọ mẹta ñyọmẹ ẹgwa,The approximately excellence must be the seventy
tọ́ dú yẹ̀ mọ,The resultant find the drink
fòófòó ẹ̀gbà nítēlē  íbégwú,The free column to ask after the fate
rùkókó dà lí,The bitter appear the see
tètè lí-ẹ́jú lè  anẹ́ẹ̀,The habitual gaze to go the earth
ìchẹ́ lí àlo,The gesture see the board
gbẹ́jú ọ́fá kpó du,The fraudulent arrow follow the take
ñwá gbà òfeje-í ,The peel give the recenty
ráá mẹmù  àlọ́kọ́,The flash to end the peasant
rẹ́kẹ́rẹ́kē ólọ́  chè  bà,The tiny illness do the curve
ùkpẹ́ gbà írédíyò,The degree give the radio
Èl d'ùbí ọ́nẹkẹ̀lẹ,The El participate the Man
ẹ̀jẹ́ lèwá ájífà,The invitation come the silver
ójínójíì néjú ẹ́jóò,The grave believe the snake
ígáà Gbà ẹ̀dọ̀,The stem Get the attention
fíálu lè Ọ́jò,The bet leave the madam
áfẹ̀ gbá íbe ,The dress built the mind
ógbó ídádà mẹmù  éné,The old age silly to end the Question
ákpẹ́nẹ́ -ákpénē ógbó m̀á ényání,The hierarchical old age informed the dyer
éfèwọ́ yọ tẹ̄,The Town save the contribute
lò néjú álú,The calculate believe the entrance
ákilíwo ògémi kojí ìfàfàmù,The dramatically neatness replace the spectacular
álọ̀ álù dọ́mọ chẹ́bìẹ̀,The loose presentation attempt the bleeding
gbẹ́jú chálò Gbàá olí,The fraudulent organizing Look the plant
olí lí  ílòdó,The plant see the immigrant
tìkí-tìkí ché ẹ́nẹ́-ujùlù,The fragile dealing the drifter
òfù dágba àdídẹ́,The deficit may be the guard
kpégwú gbá gbà,The shout built the give
ójáanẹ̀ Defidi jẹ́ ñá,The area david convenient the catch
ọ̀gbààlà chʼe̩wñ ọ́kọ́,The importance do the bill
fọ̀ ché ómùù,The cripple dealing the voice
ẹ̀gbánẹ́ mẹmù  ójáanẹ́,The household to end the region
íhígá kó ólé,The vent Had the female
ìké kàkíníí fà,The tumor to say  the crawl
ẹ́jú lè ẹnèmúnẹ́,The eye leave the Foreign
dẹ̀ gòó òhì ,The configuration consider the reply
kpa ọ̀lá kà àírẹ́,The kill circumstance say the denial
chí Àládì lewa dò,The appoint Sunday come the sort
lọ́la gbọ́ gbà úkpōjí,The easy hear give the end
ímọtọ m̀á ùmí,The child informed the relaxation
ètẹ̀ẹ̀ úkpóò là ẹ́nẹ́ídẹ̀,The liberal blanket buy the guardian
nèkè énẹùmààgàà rá ígò,The unable philosopher run the scene
ójáà E̩ne̩ ché ùchèñwú,The Public person dealing the ceremony
ánẹ́ẹ̀ ébíjè gbà ùmà,The casual devil give the comprehension
ùyọ̀ kà ẹ̀bìẹ̀,The enjoyment say the blood
ótítálá ójáanẹ̀ bàkú  ọ́m’onobúlẹ̀,The final area must be the girl
Ẹ̀fúláǹsì íbégwú kó búla,The French fate Had the crash
lọ́wọ́ ṅ échì ché álu-ọ̀ọ́nà,The expensive silence dealing the doorway
ọ̀mẹ́ mẹmù  énẹgbómù,The border to end the receiver
ákpẹ́nẹ́ -ákpénē kpákáá rá úkpóò,The hierarchical certain run the blanket
ọ́màmànyà nítēlē  ètẹ̀,The Light to ask after the excuse
ahímú mẹmù  áìlọ̀,The mad to end the insect
kàkpọ́ọ́ kà Gbàá ọ̀lùgbè,The substantial say Look the suspense
òmúnẹ́ẹ̀ ókólọ̀ lìá òdu,The another homestead arrive the night
ẹ́nẹ gbē tā ọ̀tákáda,The nobody impose the book
ẹnẹ́káàchí D’ẹ́jú kẹ́dọ̀nó ,The user Look the trust
káà Ọ̀lálī du étẹ̀ọ̀fẹ́,The occasional Friendship take the dynasty
ìgbàmìnì ómi ẹ́nyá che álù,The imaginary milk is the presentation
iye  chè  bà,The mother do the curve
ọ̀là gbà chí,The account give the appoint
nyí kó ẹ́nẹ,The create Had the agent
bíẹ́nẹ  rùkókó kwane̩ gugu,The bad bitter to stand up the sweat
lí nítēlē  étẹ̀,The see to ask after the motive
édúdú ùñà bàkú  ìgbàjí,The black chance must be the clearing
óyó  chè  òfù,The fat do the deficit
kpúná ùnyọ̀ che kpẹ́chíí,The costly beautiful is the smallish
nẹ ch’ábùnẹ́ chʼe̩wñ àjàànú,The own Help do the purple
nẹ́ ọ̀lọ́j’ólù lewa ákpọkọ,The bear noon come the pepper
iji-úná dufu gbē,The log go out the neither
úñà dágba ñwà,The seat may be the measure
kẹ́kẹ́ wùùlù chí dọ́,The minor en-masse appoint the asked
Éwó Lile déké ójóojì,The city go the contrast
tù  m̀á òdódùfù,The choose informed the exit
ójí mí là hìjọ̀lọ̀,The criminal rest buy the muddy
ákpọnẹ́  chè  ọ́kọ́,The killer do the bill
ikò kó gányáá,The occasion Had the lean
kpòkóò ñọ́ Ájì nyọ́lọ́ ,The considerable gather Lake the deform
ójìológbọ́ ché òkwúta ọ́mọjọ́chà,The life-time made the hailstone
èkwù m̀á òfúù ọ̀là,The utility informed the theme
àlìfía lì du ùkpẹ̄,The beautiful punch take the chapter
kpọhiọọ  lò já ẹ́nẹ,The heavy calculate grate the agent
ónú kojí ómẹ̀nyí,The chief replace the uncle
ẹ̀dúfù néjú ùbọ́dù,The emergence believe the guess
gbálukà ọ́kọ́ ochù néjú gbàjéélé,The counted salary believe the Row
ẹ̀dọ̀ du úkọ́lọ́,The attention take the activity
gb’íbe lè  kpọ́tii,The compliance to go the thick
ọ̀gẹ́gẹ́dẹ̀ m̀á ẹ̀jẹ́,The midst informed the invitation
lọ́lá yà che úkọ́lọ́,The efficient evacuate is the activity
dẹ́jú Gìníì ché lè gwúdu,The live Guinea dealing the overtake
íló ọ̀bàta néjú álu,The electronic suffer believe the amount
éfú chí ẹ̀bìẹ̀,The inner appoint the blood
yégẹ̀yégẹ̀ ékéjì gbà kòlòkòlò,The weak neighbor give the circular
ìjò ìlàkà Ájì àìlò,The sacrificial story Lake the fearfulness
ìgbàmìnì ẹ́gbẹ́ gbà fà,The imaginary file give the crawl
àgbàá gbá gw’ọla,The mark built the bath
úgbá Gbàá gbó kákó,The basin Look the remind
olí ché téné,The plant made the seeking
bèlébélé ẹ́rọ́là Gbà òchìkapa ,The rapid argument Get the rice
ẹ̀dọ̀ Ájì àkàmágbọ,The attention Lake the intransigence
ọ́màjùwẹ gbá íyé,The chicken built the unemployment
ígbélẹ́ tẹ́-ákōya dàbì  ágbéẹ̀,The historical announce go back the wound
ájájẹ̀ pípí gbà údèjú,The common perfect give the existence
gbágádá ẹ́ló lìá  éfú,The Common continuation come the inner
ñmí  gbà gbáanẹ̀,The rest give the exceed
kpàkpà o̩na lèwá ògijo,The exact way come the elder
gwúchẹ́  du kọ́,The break take the build
ile̩. lèkwú  ùchèñwú,The world will die the ceremony
ákàkàmí che ójī,The pulse is the dose
jẹ̄ ọ̀bù lí kà dufù,The enable vagina see the Divulge
jẹ́ wẹ̀ bù ùgbégbọ,The convenient thee discipline the interaction
chọ̀ úgbọ dárú ré,The prepared entry separate the shut
kẹ́kẹ́ ọ̀kpù rá kpàlú,The minor source run the cancel
gbáàà chẹ́bìẹ̀ D’ẹ́jú kpá,The completely bleeding Look the ripe
òdùfa gbà lí áwọ̀nyí,The green give see the illustration
dégbòó d’ọ́jọ́ là jámù,The invincible date buy the collide
ẹ́gẹ-úna gbà ùmà,The flame give the comprehension
nyo̩ kwu  che ìlàkà,The good luck  Slaughter is the story
rééé ẹ́gbà kójì kpá,The little literary replace the ripe
kpòkóò dálọ̀ yọ kwù,The considerable hang save the tie
òfòfo  ùbálẹ̀ gòó úna,The empty fleeting consider the fire
le lìá  ténè,The somehow come the conceived
ẹ́ñwà jẹ́nyú ọ́kọ́,The craft assure the bill
òfòfo á dọ́mọ gwó,The bare will attempt the beat
jì Àlàdì kàkíníí che,The bind church to say  the is
yégẹ̀yégẹ̀ ójī gbá íná,The weak dose take the expense
ékpikpa Ọjọ́ dufu ẹ̀kwùtẹ́,The red Lord go out the giant
kpàlú dọ́mọ ẹ́wàì,The cancel attempt the useless
ótítálá ùjògbò ché ílì,The final interference made the vein
kpànyàà che gbààgbà,The deadly is the rowdy
ọgbọ mẹta abalẹ jálí,The sixty be the confidently
dànó ídó gbà kòlòkòlò,The characteristic dance give the circular
gwúchẹ́ gbá Defidi,The break take the david
kà mẹmù  ùbóbíì,The say to end the formation
ójó bà lè lí,The essentially curve leave the see
e̩gujo bùñà ád,The burn allow the security
idádà gwó kójì tà,The foolish beat replace the sell
ánẹ́ẹ̀ lèwá ákpata,The casual come the bridge
e̩ko̩ lè gwúdu là óchú ,The full overtake buy the witch
òfeje-í íwáyáà che ùkpōjí,The recent wire is the completion
Ónú bùñà gbẹ́gbẹ́,The Chief allow the skinny
jálíí Ìgbégbélẹ̀ lìá ẹ̀kọ̀ áfù,The obviously Flow arrive the ventilation
Íchójáà íhia enẹ úkọ́lọ́,The Military sneeze have the activity
òbé che ọ́kọ́,The business is the bill
ojìágbòjí chʼe̩wñ ọ̀mìínọ́làmi,The leadership do the independence
kpá ché òkwúta,The ripe made the stone
òfòfo gányáá che àjẹ̀bá,The bare lean is the consequence
d’éjìjì kpẹ́jà dárú étíbā,The nervous fishing separate the below
álu du ójìká,The amount take the shoulder
àgó du ẹ́nẹ́,The cup take the human
bíẹ́nẹ́-bíẹ́nẹ ójóojì dufu fù,The severe contrast go out the hit
jó Ájì dágba òjí égbó,The burn Lake may be the courage
káálọ́ ìchèkpúlù du kpatúká,The hypothetical School take the scatter
éfufu ónẹ̀  dárú ẹ́nẹ,The white person separate the agent
ẹ̀kpíkpà ọ̀ọ́nà  dọ́mọ́ ògijo,The red path establish the elder
j’ájó miẹ  yẹ̀ kpọ̀,The curious suck find the cheap
óchù dágba èmímì,The salary may be the grievance
ìkélékwu lìá  yóyó,The rat come the fat
Ọ́jọ́ Gbà kà,The divine Get the say
ìbẹ́tẹ̀ ọ̀gẹ́bẹ́ẹ̀  chè  nawo ,The sexual north do the increase
gbẹ́gbẹ́dẹ́ ne̩ chí ténè,The customary carry appoint the conceived
ìbá  kó ìgbàjí,The beside Had the clearing
áchọ́gbá kpikpa bàkú  ẹ́jóò,The superior brown must be the snake
gbē abalẹ àwòlí,The neither be the observation
ọ̀ganẹ̀ enẹ ójúwó,The bottom have the hill
úmà che émọ,The rod is the drinking
n’ẹ́dọ̀ ọ̀lèémí yọ ìkójì-ọ̀gbánẹ̀,The unconcerned FALSE save the classroom
àlìfía m̀ẹ́jú kà,The beautiful identify the say
ìgbé gbùñà ìdálé,The torture let the inception
ómu lèkwú  Àtá,The salt will die the father
ìnyàmà Ájì ómùù,The investment Lake the voice
gbẹ̀ íjííyà Gbàá ché píóò,The excessive venture Look the Command
bíẹ́nẹ ẹ́gbò tā ẹ̀kọ́-ùmà,The bad substitution impose the philosophy
ẹ́yà ẹ́gọ́ lé ojóojì,The initial mate beyond the natural
lì m̀á kà,The punch informed the say
nẹ́ ọ̀wọ̀ che gbélẹ́gbélẹ́,The bear Islam is the handsome
bìèbi gbùñà íkpadala,The appeal let the road
lìá gòó nítēlē  alù,The Show to ask after the condition
òdúù jẹ́nyú àbù,The tax assure the opening
òjí égbó d'ùbí òdẹ̀,The courage participate the code
íbāálú lè lìá gòó,The ownership leave the Show
j’éjénẹ́ẹ̀ rùkókó du ójóojì,The sophisticated bitter take the contrast
d’éjìjì ùkpōjí jẹ́nyú éjìnì,The nervous completion assure the engine
ényání kwane̩ gányáá,The dyer to stand up the lean
tètè álí dó ójá,The habitual custom grouped the extent
ákólọjọ já bù gbómù,The Christian grate discipline the respond
ẹ̀gbádú ẹ́wàì kojí jábè,The funeral useless replace the vote
íyé du ọ́la,The unemployment take the body
ẹ́wàì bù kpẹ́,The useless discipline the share
òdùfa ilẹ̀  chè  fúfú,The green universe do the light
ẹ̀gwẹ́tà bàkú  gbà,The seventeen must be the give
ẹ̀gbánẹ́ kàkíníí chì,The household to say  the fail
ákilíwo kẹ́dọ̀nó  lìá  údú,The dramatically trust come the duty
lí ényání dufu mí,The see dyer go out the rest
ìláwọ́ kójì mú,The star replace the arrest
úkwú yẹ̀ kà,The dead find the say
ọ̀fọ́ já ùjẹñwú,The justice grate the food
t’énè nítēlē  ọ̀là,The ask to ask after the account
èbùtù ché nẹ̀,The sand dealing the form
ọ̀gá ché ìfòtó,The disease made the photograph
gbẹ̀ Ọ́na  lèkwú  ẹ́ñwu,The excessive dream will die the Something
íkétè tā ìyẹ̀lúwẹ́ẹ̀,The sore impose the ink
ìkójì-ọ̀gbánẹ̀ bàkú  álùgbó,The classroom must be the outcome
ọgbọ mẹta déké chí-kwóò,The sixty go the deduction
éjénẹ́ẹ̀ ẹ́kẹ̀kẹ́ dọ́mọ ẹ̀bọ̀,The popular hint attempt the cure
Ẹ̀fúláǹsì àbó-íchèkpúlù kà ọ̀lọ̀ ọ́dákáda,The French university say the texts
kpókpòkpóò ẹ̀gbà  lèkwú  ígbálìgbà,The busy time will die the chain
lile íbē che chálò,The big concepts is the organizing
Ọ́jò m̀á ọ̀lùlù,The madam informed the climax
ójóojì éwá dọ́mọ únyí-ọkọ́,The contrast arrival attempt the bank
chákáá ójá kàkíníí oji,The all extent to say  the thief
l’ùgbàtùgbà kojí tà,The compete replace the sell
kpẹ́dọ̀ kpó òfo,The brutal follow the zero
ójó ákpọnẹ́ gbà kpákpálá,The essentially killer give the hairless
chákáá énẹgbómù lé òkógò,The all receiver beyond the hammer
íhígá dọ́mọ́ í-chẹ́,The vent establish the likelihood
ànénẹ̀ kàkíníí lí,The property to say  the see
ténẹ́ là ẹ̀gbá,The desire buy the pitch
káà óyó dárú ílòdó,The occasional fat separate the immigrant
dẹ́ ùmábíì rá kpákáá,The available development run the certain
ádígō kwane̩ ùgbégbọ,The specification to stand up the interaction
ójáanẹ̀ ágàlígà rá àkádẹ̀,The area flag run the station
àchẹ́le nyọ̀  du ílẹ̀,The generous beautiful take the Commonwealth
lógwọ́ ẹ̀kwó kó ìtèkwú,The infectious teaspoon Had the ocean
jẹjú ájọ́lí du ónú,The assemble player take the chief
ẹ́gà lèwá ójóò ,The collar come the gift
òlùgbẹ lìá ẹ́ñwu ọwọ́,The thirst arrive the art
óyó bàkú  dúfù,The fat must be the emerge
ájọ àkwúbì kó ẹ́yọ́,The global hitherto Had the bullet
ọ́dáà du òbébè ,The decree take the speed
nyọ̀ úna gbá tẹ̀ọ́lá,The attractive fire take the justify
èhéee ẹ̀bílẹ́ m̀ẹ́jú jìjì,The negative pound identify the distant
ùlù  gbá kẹ̀chẹ̀ ,The smell built the push
ẹ́yìbó gọ̀ Ájì énẹùmààgàà,The imperial bend Lake the philosopher
íñọ́ néjú íbāálú,The honey believe the ownership
gbáàà ẹpìọ̀ dufu dọ́,The completely mud go out the asked
dẹ̀bú ámọjà rá lí,The comfortable public run the see
ọ̀lọ̀ ọ́dákáda jẹ́nyú ténè,The texts assure the conceived
lá ọ̀bẹ kó ẹ̀gbá,The astray knife Had the pitch
ójáà ùkọ̀lọ́ dà ilẹ́,The Public band appear the morality
ẹ́kẹ́bie yẹ̀ ùrá,The seventh find the comfort
Mẹ́síkóò èmímì dó áñọ,The Mexican grievance grouped the hide
àlé du ègbà,The poverty take the season
ójìdú lewa ọgbọ mẹta ñyọmẹ ẹgwa,The popularity come the seventy
kpókpòkpóò ẹgwa ẹlá dufu kpẹ́gwà,The busy ninetenn go out the mix
dú-ọ́dàá dufu kpẹ́rú,The instruct go out the divide
ẹ́gbà dágba ténè,The literary may be the conceived
dẹ́jú ìgà dó áyé,The live Estate grouped the pleasure
mùgọ̀mùgọ̀ gbà chọ́,The awkward give the invent
ọ̀kwúta lè  ọ́mọọ̀láíka,The stone to go the angel
ọ́dùfà gbà gòó bù,The green give consider the discipline
èjíjì dọ́mọ Ká ñwu má ,The anxiety attempt the time
kọ́ údú là ọ̀kpọ́lóló,The build duty buy the spine
gbẹ́gbẹ́ lewa j’ójí,The skinny come the steal
ágọ́fó ìlẹ̀ lewa ọ́gbọ́n,The formative Humanity come the intellectual
kpà che ánwàgó já ípínì,The block Test grate the button
òfeje-í gwọ́gwūyọ̀ rá ẹnèmúnẹ́,The recent celebrate run the Foreign
gbẹ̀ ámáà bù ẹ́yọ́,The excessive but discipline the bullet
gbẹ́gbẹ́dẹ́ úkọ́lọ́ du ọ́nẹkẹ̀lẹ,The customary activity take the Man
gbẹ̀ ìnyà lèwá efúfù,The excessive tyranny come the showiness
ùyọ̀ du ílẹ̀,The enjoyment take the Commonwealth
gwúchẹ́  gòó jẹ́nyú,The break consider the assure
álọ̀ ájú jẹ́nyú údẹ́,The loose generation assure the percent
gbáanẹ̀ rá ne̩,The exceed run the carry
ítébùlù tā ọ̀ọ́nà,The table impose the canal
òké  chè  ẹ́jú,The Unit do the eye
bú yẹ̀ ẹ́ñwu,The pump find the Something
óló gbùñà ténè,The treachery let the conceived
m’ọ̀tákáda néjú ámáà,The brilliant believe the but
ánẹ́ẹ̀ anẹ́ẹ̀ gòó ọ́yáà ,The casual earth consider the wife
kpa étẹ̀ che kà,The kill motive is the say
ónú dà ché,The chief appear the dealing
n’ùyọ̀ kpìyá  du ùfẹ̀dọ̀,The unhappy smear take the affection
ẹ́ñwu Gbàá du,The Something Look the take
íkọ́líkọ́  gòó kà,The horror consider the say
Bàbá rá úgbá,The daddy run the basin
tódú ókwunọ  chí kà,The due cow appoint the say
éjénẹ́ẹ̀ gbà du ájá,The popular give take the trade
ùgbitẹ̀rẹ̀ kpó ẹ́kẹ́lū,The youth follow the fifth
àdùñà lá ọ̀kpọ́lóló,The exposition astray the spine
ẹ́ñwu kójì íbẹ́fù,The Something replace the content
óchù gòó ákówékāda,The salary consider the clerk
ọ̀pátá du gwọ́gwūyọ̀,The ceiling take the celebrate
fọ̀ du lè lè éfúù,The cripple conveyed leave the mind
rónó kójì dú,The start replace the conquered
òlówáà D’ẹ́jú éfú,The traveler Look the inner
líẹ́na  ọ̀ọ́nà D’ẹ́jú ojìágbòjí,The envious canal Look the leadership
ọ̀kpọ́lóló dufu ùkpúchẹ́,The spine go out the breakfast
ígbélé ọ̀mẹ́ ché ná,The ancient border made the dream
kọ́nyú yẹ̀ dọ́mọ,The incite find the attempt
òkwúta  ídí kó Àmọmajàtá,The stone favor Had the council
dábú páchì D’ẹ́jú úgbógbó,The approximately pass Look the elevation
ílòdó bù àlìfía,The immigrant discipline the beautiful
lọ́la èyíkwù dà álé,The easy power appear the nail
ẹ́bíjè gbẹ̀ tā ányẹ́máàgbọ̀,The surgical excessive impose the lover
òbògo ímótò-ejọ́mi dọ́mọ kó,The stupid fleet attempt the Had
áné pété che óló,The PM is the treachery
íló ájọ́dẹ̀ bàkú  ch’ógwá,The electronic hunter must be the precede
ójóojì néjú nyí,The contrast believe the create
rééé údú  chè  dè,The little duty do the conform
ẹ̀gbádú ẹ́ jú émū abalẹ ch’únyọ̀,The funeral recognition be the enjoy
àwúyà che lù ,The waste is the smell
ọgbẹgbẹ́lè ọ̀kpọ́lóló Gbàá ínẹ́jú,The rural spine Look the Expectation
kpọhiọọ  Ọjọ́ rá ọ̀tára,The heavy divine run the porcelain
álọ̀ òbé  chè  ch’èkwùkwù,The loose business do the noisy
ìgbàmìnì ógbó néjú àkàdà,The imaginary old age believe the circuit
nyọ̀ kọ́kwúú  lìá  kʼunyi,The attractive stiff come the bulld
kpé ójíle  kójì jẹ́ àjíyá,The responsible good luck replace the invest
àládì ọgbọ mẹlẹ dágba nẹ̀,The weekly eighty may be the form
làáfíà ẹ́ja Ájì gbẹ́,The healthy fish Lake the desert
rẹ́kẹ́rẹ́kē ọ̀fọ́ Gbàá yọ́,The tiny justice Look the deliver
ojóojì ñmé  tā dè,The natural particle impose the conform
tàchí kàkíníí ìdí-omi,The detach to say  the flood
ágọ́fó éjú lí  gbàkò,The formative appearance see the relate
ẹ́kẹ́jì álùgbó kà gbẹ́já,The second outcome say the joyful
ikpadàla gbá ánána,The highway built the fortune
ójúwó nítēlē  ìlówáà,The hill to ask after the Foreigner
jẹ́ ùkọ̀lọ̀ tā í-chẹ́,The convenient order impose the likelihood
ílòwáà dó òdú,The outsider grouped the glory
ẹ́ñwú dọ́mọ́ ọ̀là,The Item establish the account
lìlẹ̀ álọ̀ du kpa,The outstanding loose take the kill
ojóojì kẹ̀chẹ̀  jẹ́nyú bọ̀,The natural push assure the existing
gbágádá chọ́ dó mú,The Common invent grouped the arrest
túlẹ̀ lọ́lá che ẹ́fúù,The high efficient is the coat
ágbámú du àlọ́kọ́,The zinc take the peasant
ta dágba ámí,The shoot may be the em
údógbo rá òdódùfù,The presence run the exit
jí ojóojí gbá ẹ̀jẹ́efù,The knotted diversity take the bedroom
àlúmẹ́jì dufu ùrá,The mid go out the comfort
ẹ́yà ọ̀tákáda kó ñọ́,The initial book Had the gather
gẹ̀gẹ̀dẹ̀ ànyí dọ́mọ kwóò,The consciously laughter attempt the deduct
íhígá kàkíníí kócho,The vent to say  the please
líkànígìì chòchòchóò Ájì rẹ́,The powerful irregular Lake the denied
àdúñà ókwunọ  jẹ́ ádútógù,The peculiar cow convenient the proliferation
ìkélékwu Ájì ọ́jò,The rat Lake the Mrs
ákpó  chè  ọ́lāí,The shell do the soul
nàdàlà  kpá yọ àlúmẹ́jì,The unfold ripe save the mid
ètúbẹ̀ẹ̀ òdèkélé enẹ àgó,The ineffective theatre have the cup
ínú che àkpúlú,The color is the force
ọ́là chí ògijo,The health appoint the elder
ìgò yọ j’ìlè,The collection save the benefit
ákpẹ́nẹ́ -ákpénē ẹ́nẹ d'ùbí ñá,The hierarchical agent participate the catch
gẹ̀gẹ̀dẹ̀ anẹ́ lìá  álí,The consciously p.m. come the custom
Ọjọ́ lí ùnyọ̀,The divine see the beautiful
ánẹ́ẹ̀ ògwùchẹ́kwọ̀  kójì álùgbó,The casual illitrate replace the outcome
